country,major_area,region,year 2017,year 2018,year 2019,year 2020,year 2021,year 2022,year 2023,year 2024,change_2017_24,change_21_22
Benin,Africa,Western Africa,No data,No data,8.05,10.24,16.81,14.77,24.31,22.48,179.3,-12.14
Burkina Faso,Africa,Western Africa,No data,No data,7.11,11.05,25.52,40.01,42.80,45.80,544.2,56.78
Cape Verde,Africa,Western Africa,No data,No data,25.90,20.85,23.78,14.11,17.39,10.70,-58.7,-40.66
Côte d'Ivoire,Africa,Western Africa,6.94,10.64,14.60,22.84,35.41,30.15,57.72,62.04,793.9,-14.85
Gambia,Africa,Western Africa,No data,No data,8.96,7.79,10.09,5.92,7.23,No data,-19.3,-41.33
Ghana,Africa,Western Africa,15.60,24.90,20.04,46.65,49.55,24.59,35.42,37.80,142.3,-50.37
Guinea,Africa,Western Africa,No data,No data,No data,13.88,No data,5.91,10.11,9.35,-32.6,-
Liberia,Africa,Western Africa,No data,No data,21.64,18.26,25.65,7.98,6.35,8.90,-58.9,-68.89
Mali,Africa,Western Africa,No data,No data,12.15,17.99,19.99,22.76,20.00,No data,64.6,13.86
Mauritania,Africa,Western Africa,No data,No data,3.97,5.50,11.08,14.56,21.30,19.30,386.1,31.41
Niger,Africa,Western Africa,No data,No data,No data,No data,No data,4.23,5.23,No data,23.6,-
Nigeria,Africa,Western Africa,9.13,10.18,11.70,12.61,18.15,9.70,16.39,21.59,136.5,-46.56
Senegal,Africa,Western Africa,No data,8.13,18.01,21.27,34.68,20.70,23.21,21.65,166.3,-40.31
Sierra Leone,Africa,Western Africa,No data,No data,8.16,11.69,12.13,10.46,13.95,24.72,202.9,-13.77
Togo,Africa,Western Africa,No data,No data,19.92,19.91,20.61,33.72,26.47,30.68,54.0,63.61